"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido taxas."
"%s - %s","%s - %s"
"%s and above","%s and above"
"%s Item(s)","%s Artículo(s)"
"%s-%s of %s","%s-%s of %s"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"and","y"
"and above","y arriba"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Aplicar a"
"Approved","Aprobado"
"Are you sure you want to delete this category?","Está seguro de borrar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Esta seguro de eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que quiere eliminar este producto de la lista de comparación?"
"Are you sure?","Está seguro?"
"As low as:","Tan bajo como:"
"Assign","Asignar"
"Assign product link","Asignar producto vínculo"
"Assign product to category","Asignar a la categoría de productos"
"Assigned Products","Asignación de Productos"
"Associated Products","Productos asociados"
"Attrib. Set Name","Nombre del conjunto de atributos"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the ""/name/"" name already exists","El grupo de atributo ""/ name/"" ya existe"
"Attribute Information","Información del atributo"
"Attribute Model","Modelo del atributo"
"Attribute Name:","Nombre del atributo:"
"Attribute remove","Attribute remove"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Attribute Sets"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Los nombres de atributos se puede especificar por tienda."
"Autogenerate","Autogenerar"
"Availability:","Availability:"
"Back","Volver atrás"
"Backend Model","Modelo de backend"
"Backend Table","Tabla de backend"
"Backend Table Title","Título de la tabla de backend"
"Backorders","Pedidos de artículos agotados pendientes"
"Base Image Width","Base Image Width"
"Based On","Basado en"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Mejor valor"
"Block after Info Column","Bloque después de la columna de Información"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Inferior/Izquierda"
"Bottom/Right","Inferior/Derecha"
"Browse By","Buscar por"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Comprar %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por %2$s (%3$s incl. impuestos)"
"Buy %1$s for %2$s each","Comprar cada  %1$s por %2$s"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Solo puede usarse con un tipo de dato de menú desplegable en el catálogo, selección múltiple y precio"
"Can't create image.","No puede crear imagen."
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Atributo del artículo del carrito"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Catálogo de la sección"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Categories Sitemap","Mapa del sitio de categorías"
"Category","Categoría"
"Category API","API categoria"
"Category attributes API","API atributos categoria"
"Category Data","Datos de la categoría"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category move error","Error al mover la categoría"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category Products","Productos de la categoría"
"Category Top Navigation","Categoria Padre"
"Category URL Suffix","Categoria Sufijo URL"
"Center","Center"
"Change","Cambiar"
"Change or Retrieve attribute store view","cambiar o recuperar atributo de la vista de la tienda"
"Change status","Cambiar el estado"
"Check items to add to the cart or","Compruebe los elementos a añadir a la cesta o"
"Choose an Option...","Seleccione una opción..."
"Clear All","Borrar todo"
"Clear Price","Clear Price"
"Click for price","Click for price"
"Close Window","Cerrar la ventana"
"Collapse All","Cerrar todo"
"Comma-separated.","Comma-separated."
"Comparable","Comparable"
"Comparable on Front-end","Comparable en el Frontend"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Compare"
"Compare Products","Comparar productos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Producto configurable"
"Configurable Product Settings","Configuracion de los productos configurables"
"Configure Product","Configure Product"
"Continue","Continuar"
"Copy From Configurable","Copiar del configurable"
"Country/State","País"
"Create","Crear"
"Create (Upload)","Crear (Subir)"
"Create attribute set based on another set","Create attribute set based on another set"
"Create Empty","Crear vacío"
"Create new attribute","Create new attribute"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Product Settings","Crear configuraciones de productos"
"Create Simple Associated Product","Crear producto simple asociado"
"Cross-sells","Ventas cruzadas"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Diseño personalizado"
"Custom Options","Custom options"
"Customer Group","Grupo de clientes"
"Customers Reviews","Comentarios de los clientes"
"Customers Tagged Product","Producto etiquetado por los clientes"
"Data Type for Saving in Database","Tipos de datos para grabar en la base de datos"
"Date & Time Custom Options","Fecha y hora opciones personalizadas"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Fecha de suscripción"
"Datetime","Fecha"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar el alcance del valor del atributo a grabar"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Cantidad por defecto"
"Default Values","Valores por defecto"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Borrar"
"Delete Attribute","Delete attribute"
"Delete Attribute Set","Borrar conjunto de atributos"
"Delete Category","Eliminar categoría"
"Delete Group Price","Delete Group Price"
"Delete Option","Borrar opción"
"Delete product","Eliminar producto"
"Delete Row","Eliminar fila"
"Delete Search","Borrar búsqueda"
"Delete Selected Group","Borrar el grupo seleccionado"
"Delete Tier","Delete Tier"
"Depends on design theme","Depende del diseño/tema"
"Description","Description"
"Design","Diseño"
"Details","Details"
"Disabled","Deshabilitado"
"Disallowed file type.","Disallowed file type."
"Display Actual Price","Display Actual Price"
"Display in Suggested Terms","Mostrar en los términos sugeridos"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display Type","Display Type"
"Double click on a group to rename it","Doble click en un grupo para renombrarlo"
"Double click on above image to view full picture","Doble click en la imagen para abrir/cerrar"
"Downloadable Information","Downloadable Information"
"Duplicate","Duplicar"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicar el precio escalonado, el grupo de clientes y la cantidad del sitio web "
"Duplicate website, country and state tax found.","Duplicar página web, país y impuestos encontrados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"each","Cada"
"Edit","Editar"
"Edit Attribute Set '%s'","Editar el conjunto de atributos '%s'"
"Edit Product Attribute","Editar el atributo del producto"
"Edit Product Attribute ""%s""","Editar el atributo del producto ""%s"""
"Edit Search","Editar la búqueda"
"Edit Search '%s'","Editar la búqueda '%s'"
"Edit Set Name","Edit Set Name"
"Email","Correo electrónico"
"Email to a Friend","Envíe un correo sobre el producto"
"Empty","Vacío"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"ex. http://domain.com","ej. http://dominio.com"
"Exclude","Excluir"
"Expand All","Expandir todo"
"Failed","Fallo"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Fallo al mover el archivo: %s"
"Feature Products","Productos destacados"
"Field is not complete","Field is not complete"
"File options format is not valid.","File options format is not valid."
"File upload failed","No se han podido cargar  los ficheros"
"Filter","Filter"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For internal use.","For internal use."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Modelo del Frontend"
"Frontend Properties","Propiedades del Frontend"
"Gallery","Galería"
"General Information","Información general"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Consigue precio especial"
"Global","Global"
"Globally Editable","Editable en forma global"
"Go to Home Page","Ir a la página de Inicio"
"Grid","Cuadricula"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Producto agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si no especifica una opción para la vista de la tienda por defecto (Administardor) usará la vista global."
"Image","Imagen"
"Image content is not valid base64 data.","La imagen no es de ""base64"""
"Image does not exist.","Image does not exist."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","El tipo de imagen y la información deben ser especificos para cada vista de tienda."
"In Cart","In Cart"
"In Stock","En existencia"
"Incl. Tax","Impuestos incluidos"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Tipo de entrada"
"Integer","Entero"
"Interval Division Limit","Interval Division Limit"
"Invalid attribute %s","El atributo %s no es correcto"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Imagen no válida."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","La tienda especificada es inválida"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid Tier Prices","Precios no válidos"
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventario"
"Is Default","Es por defecto"
"Is Required","Se requiere"
"Items %s to %s of %s total","Artículos %s a %s de %s totales"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quiere mostrar en el catálogo o en los resultados de las búsquedas deben tener como estado 'Deshabilitado' en la tienda deseada."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Ultima notificación"
"Layered Navigation","Layered Navigation"
"Learn More","Saber más"
"leave blank if its not an image","Dejar en blanco si no hay una imagen"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, código: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","Lista"
"List Mode","Modo de la lista"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","Gestionar los conjuntos de atributos"
"Manage Attributes","Gestionar los atributos"
"Manage Catalog Categories","Gestionar las categorías del catálogo"
"Manage Categories","Gestionar las categorías"
"Manage Label / Options","Gestionar las etiquetas / opciones"
"Manage Options (values of your attribute)","Gestionar las opciones (valores de sus atributos)"
"Manage Product Attributes","Gestionar los atributos del producto"
"Manage Product Sets","Gestionar los conjuntos del producto"
"Manage Products","Gestionar los productos"
"Manage Stock","Gestión de existéncias"
"Manage Titles (Size, Color, etc.)","Gestionar los títulos (tamaño, color, etc.)"
"Max Characters","Número máximo de caracteres"
"Maximal Depth","Máxima profundidad"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Altura máxima de la imagen"
"Maximum Image Size","Tamaño máximo de la imagen"
"Maximum image width","Ancho máximo de la imagen"
"Maximum number of characters:","Maximum number of characters:"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Imágenes de medios"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad minima para que el estado del artículo sea ""sin existencias"""
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Más vistas"
"Move","Mover"
"Move category in tree","Mueve la categoría en árbol"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","My Account"
"N/A","N/A"
"Name","Nombre"
"Name in %s","Name in %s"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo del producto"
"New Products","New products"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre del conjunto"
"New Subcategory","New Subcategory"
"Next","Siguiente"
"No","No"
"No image","No hay imágen"
"No layout updates","Sin actualizaciones de layout"
"No options of this product are available.","No hay opciones de este producto disponibles."
"No product collections found.","No product collections found."
"None","Ninguno"
"Not Visible Individually","Not Visible Individually"
"Notify for Quantity Below","Notificar para cantidad menor que"
"Notify Low Stock RSS","Notificar existencia baja por RSS"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"Number of Uses","Número de usos"
"OK","OK"
"Old Price:","Precio anterior:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Option:","Opción:"
"Options","Options"
"Options Control","Control de opciones"
"Options is required","Debe elegir la opción"
"OR","O"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio de atención al cliente está disponible 24/7. Llámenos al (555) 555-0123."
"Out of Stock","Fuera de existencia"
"Page Title Separator","Separador del título de la página"
"Parent Category","Categoría padre"
"Pending","Pendiente"
"Pending Reviews RSS","Comentarios pendientes por RSS"
"per page","por página"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Guarde los datos antes de clicar la fila si no perderá todos datos."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Por favor, escriba un nuevo nombre de grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Please select a static block ..."
"Please select items.","Please select items."
"Please select one or more attributes.","Por favor, seleccione uno o más atributos"
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","Por favor, seleccione productos para la actualización de los atributos"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Por favor, especifique la opción de producto"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product's option(s).","Please specify the product's option(s)."
"Please specify the product's required option(s).","Please specify the product's required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Please wait..."
"PM","PM"
"Position","Posición"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Posición del atributo en el bloque de navegación por capas"
"Prev","Prev"
"Previous","Previo"
"Price","Precio"
"Price is not available","Price is not available"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Tipo de precio"
"Price values for options should be specified in system base currency.","Los valores de precio para las opciones deben especificarse en la moneda base del sistema."
"Price:","Precio:"
"Price: %s","Price: %s"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product Alerts","Alertas del producto"
"Product API","API producte"
"Product Attribute","Atributo del producto"
"Product attribute sets API","API conjunto de atributos del producto"
"Product Attributes","Atributos del producto"
"Product attributes API","API atributos del producto"
"Product Categories","Categorías del producto"
"Product collection expected.","Product collection expected."
"Product Description","Descripción del producto"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image","Product Image"
"Product Image Placeholders","Contenedores para las imágenes de los productos"
"Product Image Watermarks","Marcas de agua para las imágenes de los productos"
"Product Images","Imágenes del producto"
"Product Images API","API imatges del producte"
"Product In Websites","Productos en los Sitios Web"
"Product Info Column","Información del producto"
"Product Information","Información del producto"
"Product is not loaded","Product is not loaded"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product links API (related, cross sells, up sells)","API de los vínculos de los productos (relacionados, ventas cruzadas, más vendidos...)"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Nombre del producto"
"Product Prices","Product Prices"
"Product Reviews","Comentarios del producto "
"Product Tags","Etiquetas del producto"
"Product Tier Price API","API nivel de precios de productos"
"Product Type","Tipo de producto"
"Product types API","API tipos de producto"
"Product URL Suffix","Sufijo en la URL de los productos"
"Product View Extra Hint","Product View Extra Hint"
"Product with this combination of attributes already associated to configurable.","Producto con esta combinación de atributos ya asociado a configurable."
"Products","Productos"
"Products Comparison List","Products Comparison List"
"Products Information","Información de los productos"
"Products only","Solo productos"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Products Reviews","Comentarios de los productos"
"Products Sitemap","Mapa del sitio para Productos"
"Properties","Propiedades"
"px.","px."
"Qty","Cantidad"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","La cantidad usa decimales"
"Qty:","Qty:"
"Quantity","Quantity"
"Quick Create","Creación rápida"
"Quick Overview","Descripción rápida"
"Quick simple product creation","Creación rápida de producto simple"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Redireccionar"
"Redirect URL","URL de redireccionamiento"
"Regular Price:","Precio regular:"
"Related Products","Productos relacionados"
"Remove","Quitar"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Eliminar assignación de productos"
"Remove Product From Websites","Eliminar el producto de los websites"
"Remove product image","Eliminar la imagen del producto"
"Remove product link","Eliminar el vínculo del producto"
"Remove This Item","Quitar este artículo"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Reiniciar"
"Results","Resultados"
"Results per page","Results per page"
"Retrieve attribute data","Recuperar datos de los atributos"
"Retrieve attribute list","Recuperar la lista de los atributos"
"Retrieve attribute options","Recuperar las opciones  del atributo"
"Retrieve categories tree","Recupera el arbol de categorías"
"Retrieve category attributes","Recupera los atributos de la categoría"
"Retrieve category data","Recupera los datos de la categoría"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Recupera los productos relacionados"
"Retrieve list of assigned products","Recupera la lista de los productos"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categoria de website/store view/parent"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Recupera el producto"
"Retrieve product attribute sets","Recuperar los conjuntos de atributos de los productos"
"Retrieve product image","Recupera la imagen del producto"
"Retrieve product image list","Recupera las imagenes del producto"
"Retrieve product image types","Recupera la imagen de los tipos de producto"
"Retrieve product link type attributes","Recuperar los atributos del producto"
"Retrieve product link types","Recuperar vínculo del producto"
"Retrieve product tier prices","Recuperar los precios de productos"
"Retrieve product types","Recuperar los tipos de producto"
"Retrieve products data","Recuperar los productos"
"Retrieve products list by filters","Recuperar la lista de productos"
"Reviews","Opiniones"
"Roll Over for preview","Pasar el mouse para una vista previa"
